Model,Precision@10,Recall@10,F1@10,Hit Rate@10,Recommendation Availability,Catalog Coverage@10,Unique Recommended Books,Recommendable Catalog Size,Mean Recommendation Time (ms),Test Cases
Collaborative Filtering,0.05,0.01671962440503931,0.02396318077364208,0.2,0.96,0.09581497797356828,261,2724,80.34791669990227,50
Hybrid Filtering,0.048,0.015554612945910205,0.02244867236185014,0.22,1.0,0.006078573561404257,285,46886,181.87990249994982,50
Content-Based Filtering,0.038,0.012167599492189657,0.01792750372694794,0.14,1.0,0.006611781768544982,310,46886,42.881398020053894,50
